nama_pelatihan;kompetensi_1;kompetensi_2;kompetensi_3;kompetensi_4;kompetensi_5;kompetensi_6;kompetensi_7
E-Learning Analisis Laporan Keuangan dan Surat Pemberitahuan (ALK dan SPT) Dasar (Open Access);Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
E-Learning Analisis Laporan Keuangan dan Surat Pemberitahuan (ALK dan SPT) Dasar (Seri);Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
E-Learning Pajak Dasar;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Profiling Wajib Pajak;
E-learning Penagihan Pajak Daerah (Open Access-Public);Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
E-Learning Pengantar E-Audit Perpajakan;Pemeriksaan Pajak;;;;;;
E-learning Pengantar Hukum dan Teknologi Informasi untuk Forensik Digital Perpajakan;Forensik Digital Perpajakan;;;;;;
E-Learning Pengantar Pemeriksaan Bukti Permulaan;Pemeriksaan Pajak;;;;;;
E-learning Pengantar Pemeriksaan Bukti Permulaan (Open Access-Kemenkeu);Forensik Digital Perpajakan;;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Compliance Risk Management;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Ekstensifikasi;Advokasi Kebijakan Perpajakan;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Keberatan dan Banding;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Non Keberatan;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Pemeriksaan;Pemeriksaan Pajak;;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Penagihan;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Pengawasan;Advokasi Kebijakan Perpajakan;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;
E-Learning Perpajakan untuk Pegawai Non DJP (Sekretariat Jenderal);Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-learning Proses Bisnis Compliance Risk Management;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;;
E-Learning Proses Bisnis Direktorat Jenderal Pajak untuk Pegawai Direktorat Jenderal Bea dan Cukai;Intelijen Perpajakan;Pelaksanaan Tindakan Penagihan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Penatausahaan Penagihan Pajak;;
E-Learning Proses Bisnis DJP untuk Pegawai DJBC;Intelijen Perpajakan;Pelaksanaan Tindakan Penagihan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Penatausahaan Penagihan Pajak;;
E-Learning Proses Bisnis Ekstensifikasi;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
E-learning Proses Bisnis Intelijen Perpajakan (Operational Intelligence);Intelijen Perpajakan;;;;;;
E-learning Proses Bisnis Keberatan dan Banding;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-learning Proses Bisnis Klaster Business Inteligence dan Compliance Risk Management;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;
E-learning Proses Bisnis Klaster Keberatan dan Non-Keberatan;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-Learning Proses Bisnis Klaster Manajemen Data dan Informasi;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;
E-learning Proses Bisnis Klaster Pemeriksaan;Pemeriksaan Pajak;;;;;;
E-learning Proses Bisnis Klaster Penagihan;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
E-Learning Proses Bisnis Non-Keberatan;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-Learning Proses Bisnis Pemeriksaan;Pemeriksaan Pajak;;;;;;
E-Learning Proses Bisnis Penagihan;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
E-Learning Proses Bisnis Prioritas Direktorat Jenderal Pajak untuk Pegawai Inspektorat Jenderal;Pelaksanaan Tindakan Penagihan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Penatausahaan Penagihan Pajak;;;
"Kemenkeu Corporate University Open Class (KCOC) ""Pemeriksaan dan Penegakan Hukum""";Pemeriksaan Pajak;;;;;;
Pelatihan Ahli Persidangan Forensik Digital Perpajakan (Blended Learning);Forensik Digital Perpajakan;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;
Pelatihan Fungsional Pemeriksa Ahli;Pemeriksaan Pajak;Tidak ditemukan;;;;;
Pelatihan Jarak Jauh Account Representative;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
Pelatihan Jarak Jauh Account Representative Kewilayahan;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
Pelatihan Jarak Jauh Administrasi Penagihan Pajak;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
Pelatihan Jarak Jauh Administrasi Penegakan Hukum;Forensik Digital Perpajakan;;;;;;
Pelatihan Jarak Jauh ALK Lanjutan Bagi Inspektorat I;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Analis IDLP I;Intelijen Perpajakan;;;;;;
Pelatihan Jarak Jauh Analis IDLP II;Intelijen Perpajakan;;;;;;
Pelatihan Jarak Jauh Analisis Laporan Keuangan Perpajakan II;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;;;;;
Pelatihan Jarak Jauh Calon Fungsional Pemeriksa Pajak;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Crash Program Jurusita Pajak;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
Pelatihan Jarak Jauh Ekonomi Digital;Advokasi Kebijakan Perpajakan;Pemeriksaan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;
Pelatihan Jarak Jauh Eksekutif Pemeriksaan;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Forensik Digital Perpajakan;Forensik Digital Perpajakan;;;;;;
Pelatihan Jarak Jauh Forensik Digital Perpajakan I;Forensik Digital Perpajakan;;;;;;
Pelatihan Jarak Jauh Forensik Digital Perpajakan II;Forensik Digital Perpajakan;;;;;;
Pelatihan Jarak Jauh Fungsional Pemeriksa Pajak II;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Fungsional Penilai Pajak Ahli;Pelaksanaan Tindakan Penagihan Pajak;Pemeriksaan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Penatausahaan Penagihan Pajak;;
Pelatihan Jarak Jauh Jurusita Pajak;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
Pelatihan Jarak Jauh Jurusita Pajak Daerah;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
Pelatihan Jarak Jauh Jurusita Pajak II;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
Pelatihan Jarak Jauh Kebijakan Perpajakan Terkini;Intelijen Perpajakan;Pemeriksaan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;
Pelatihan Jarak Jauh Kertas Kerja Analisis Wajib Pajak;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Pemeriksaan Pajak;;;;
Pelatihan Jarak Jauh Manajemen Forensik Digital Perpajakan;Forensik Digital Perpajakan;;;;;;
Pelatihan Jarak Jauh Manajemen Keberatan dan Banding;Pemeriksaan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;
Pelatihan Jarak Jauh Manajemen KP2KP;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
Pelatihan Jarak Jauh Manajemen Pemeriksaan, Penilaian, dan Penagihan;Analisis Kepatuhan Wajib Pajak;Pelaksanaan Tindakan Penagihan Pajak;Pemeriksaan Pajak;Penatausahaan Penagihan Pajak;;;
Pelatihan Jarak Jauh Manajemen Pengawasan Kewilayahan;Advokasi Kebijakan Perpajakan;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Ekstensifikasi Perpajakan;Profiling Wajib Pajak
Pelatihan Jarak Jauh Manajemen Pengawasan Strategis;Advokasi Kebijakan Perpajakan;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;;
Pelatihan Jarak Jauh Manajemen Pengendalian Mutu Pemeriksaan;Pelaksanaan Tindakan Penagihan Pajak;Pemeriksaan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Penatausahaan Penagihan Pajak;;
Pelatihan Jarak Jauh Metode dan Teknik Pemeriksaan untuk Penelaah Keberatan;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Optimalisasi Pemanfaatan Data Sektor Perikanan Tangkap;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;
Pelatihan Jarak Jauh Pajak Dasar (Non D3 Pajak);Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
Pelatihan Jarak Jauh Pemanfaatan Data Keuangan untuk Wajib Pajak Orang Pribadi Prominen;Advokasi Kebijakan Perpajakan;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;
Pelatihan Jarak Jauh Pembekalan Secondment Perpajakan;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Ekstensifikasi Perpajakan;Profiling Wajib Pajak;
Pelatihan Jarak Jauh Pemeriksa Pajak Daerah;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksa Tinggi;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Batubara;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Bukti Permulaan I;Forensik Digital Perpajakan;Pemeriksaan Pajak;;;;;
Pelatihan Jarak Jauh Pemeriksaan Bukti Permulaan II;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
Pelatihan Jarak Jauh Pemeriksaan Digital Ekonomi;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Ekonomi Digital;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Batubara;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Jasa Keuangan;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Jasa Konstruksi;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Perdagangan;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Perdagangan Farmasi;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Usaha Pertambangan Nikel;Pemeriksaan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Usaha Sawit;Pemeriksaan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Usaha Tekstil;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Real Estate;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Pemeriksaan Sawit;Pemeriksaan Pajak;;;;;;
Pelatihan Jarak Jauh Penagihan Pajak dengan Surat Paksa;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
Pelatihan Jarak Jauh Penanganan Sengketa Pajak Ekonomi Digital;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
Pelatihan Jarak Jauh Penelaah Keberatan;Pemeriksaan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;
Pelatihan Jarak Jauh Penelaah Keberatan II;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
Pelatihan Jarak Jauh Pengawasan Pajak Ekonomi Digital;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Ekstensifikasi Perpajakan;Profiling Wajib Pajak;
Pelatihan Jarak Jauh Penggalian Potensi Berbasis Data Spasial;Advokasi Kebijakan Perpajakan;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Ekstensifikasi Perpajakan;Profiling Wajib Pajak
Pelatihan Jarak Jauh Penggalian Potensi Pajak Sektor Perkebunan Kelapa Sawit;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;;;;
Pelatihan Jarak Jauh Penggalian Potensi Pertambangan Nikel;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Pemeriksaan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;
Pelatihan Jarak Jauh Penguasaan Wilayah Dengan Optimalisasi Media Internet;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Ekstensifikasi Perpajakan;Profiling Wajib Pajak;
Pelatihan Jarak Jauh Penilaian Bisnis dan Aset Tidak Berwujud Terkait Ekonomi Digital bagi Pejabat Fungsional Penilai Pajak;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Ekstensifikasi Perpajakan;;;
Pelatihan Jarak Jauh Pertambangan Batubara;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;;;;
Pelatihan Jarak Jauh Petugas Pemeriksa Pajak (P3);Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Pemeriksaan Pajak;;;
Pelatihan Jarak Jauh Teknik Audit Berbantuan Komputer Perpajakan (TABK-Perpajakan);Pemeriksaan Pajak;;;;;;
Pelatihan Jarak jauh Trainer Penagihan Pajak Daerah;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
Pelatihan Jarak Jauh Transfer Pricing II;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Pengawasan, Pemeriksaan dan TAM-PR;Pemeriksaan Pajak;;;;;;
Pelatihan Platform Investigasi Forensik Digital Perpajakan;Forensik Digital Perpajakan;;;;;;
Pelatihan Teknik Beracara di Pengadilan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
Pelatihan Teknik Beracara di Pengadilan Pajak (Blended Learning);Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
Pelatihan Teknik Pengumpulan Data dan Informasi secara Elektronik;Intelijen Perpajakan;;;;;;
Pelatihan Teknis Forensik Digital Perpajakan I;Forensik Digital Perpajakan;;;;;;
Pelatihan Teknis Pengumpulan Data dan/atau Informasi;Intelijen Perpajakan;;;;;;
Pelatihan Teknis Pengumpulan Data dan/atau Informasi Dasar Bagi Manajemen Eksekutif;Intelijen Perpajakan;;;;;;
Seminar Proposal Kajian Akademis KEWENANGAN DIREKTUR JENDERAL PAJAK MELAKUKAN TINDAKAN PENAGIHAN PAJAK BERUPA PEMBLOKIRAN ASET PERUSAHAAN CABANG DIKAITKAN DENGAN HUBUNGAN ANTARA PERUSAHAAN PUSAT DAN CABANG;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
Training of Trainer E-Audit Perpajakan;Pemeriksaan Pajak;;;;;;
Training of Trainers (ToT) Teknik Pengamatan;Intelijen Perpajakan;;;;;;
Workshop Penanganan Sengketa Pajak Dalam Bidang Transfer Pricing;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
